territory,price,price_point_id
"AFG","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBRkciLCJwIjoiMTAyMjcifQ"
"AGO","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBR08iLCJwIjoiMTAyMjcifQ"
"AIA","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBSUEiLCJwIjoiMTAyMjcifQ"
"ALB","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBTEIiLCJwIjoiMTAyNTIifQ"
"ARE","119.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBUkUiLCJwIjoiMTAzMTEifQ"
"ARG","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBUkciLCJwIjoiMTAyMjcifQ"
"ARM","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBUk0iLCJwIjoiMTAyNTIifQ"
"ATG","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBVEciLCJwIjoiMTAyMjcifQ"
"AUS","49.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBVVMiLCJwIjoiMTAzMjYifQ"
"AUT","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBVVQiLCJwIjoiMTAyNTIifQ"
"AZE","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJBWkUiLCJwIjoiMTAyNTIifQ"
"BEL","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCRUwiLCJwIjoiMTAyNTIifQ"
"BEN","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCRU4iLCJwIjoiMTAyNTIifQ"
"BFA","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCRkEiLCJwIjoiMTAyMjcifQ"
"BGR","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCR1IiLCJwIjoiMTAyNTIifQ"
"BHR","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCSFIiLCJwIjoiMTAyMjcifQ"
"BHS","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCSFMiLCJwIjoiMTAyMjcifQ"
"BIH","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCSUgiLCJwIjoiMTAyNTIifQ"
"BLR","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCTFIiLCJwIjoiMTAyNTIifQ"
"BLZ","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCTFoiLCJwIjoiMTAyMjcifQ"
"BMU","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCTVUiLCJwIjoiMTAyMjcifQ"
"BOL","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCT0wiLCJwIjoiMTAyMjcifQ"
"BRA","199.9","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCUkEiLCJwIjoiMTAzODUifQ"
"BRB","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCUkIiLCJwIjoiMTAyNTIifQ"
"BRN","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCUk4iLCJwIjoiMTAyMjcifQ"
"BTN","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCVE4iLCJwIjoiMTAyMjcifQ"
"BWA","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJCV0EiLCJwIjoiMTAyMjcifQ"
"CAN","39.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDQU4iLCJwIjoiMTAyNzcifQ"
"CHE","25.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDSEUiLCJwIjoiMTAxNjgifQ"
"CHL","34990","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDSEwiLCJwIjoiMTAzNDcifQ"
"CHN","198.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDSE4iLCJwIjoiMTAzMTYifQ"
"CIV","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDSVYiLCJwIjoiMTAyNTIifQ"
"CMR","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDTVIiLCJwIjoiMTAyNTIifQ"
"COD","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDT0QiLCJwIjoiMTAyMjcifQ"
"COG","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDT0ciLCJwIjoiMTAyMjcifQ"
"COL","129900.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDT0wiLCJwIjoiMTAyOTcifQ"
"CPV","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDUFYiLCJwIjoiMTAyMjcifQ"
"CRI","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDUkkiLCJwIjoiMTAyMjcifQ"
"CYM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDWU0iLCJwIjoiMTAyMjcifQ"
"CYP","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJDWVAiLCJwIjoiMTAyNTIifQ"
