territory,price,price_point_id
"AFG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBRkciLCJwIjoiMTAxMjcifQ"
"AGO","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBR08iLCJwIjoiMTAxMjcifQ"
"AIA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBSUEiLCJwIjoiMTAxMjcifQ"
"ALB","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBTEIiLCJwIjoiMTAxMzcifQ"
"ARE","39.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBUkUiLCJwIjoiMTAxMzQifQ"
"ARG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBUkciLCJwIjoiMTAxMjcifQ"
"ARM","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBUk0iLCJwIjoiMTAxMzcifQ"
"ATG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBVEciLCJwIjoiMTAxMjcifQ"
"AUS","14.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBVVMiLCJwIjoiMTAxNTEifQ"
"AUT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBVVQiLCJwIjoiMTAxMjcifQ"
"AZE","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJBWkUiLCJwIjoiMTAxMzcifQ"
"BEL","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCRUwiLCJwIjoiMTAxMjcifQ"
"BEN","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCRU4iLCJwIjoiMTAxMzcifQ"
"BFA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCRkEiLCJwIjoiMTAxMjcifQ"
"BGR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCR1IiLCJwIjoiMTAxMjcifQ"
"BHR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCSFIiLCJwIjoiMTAxMjcifQ"
"BHS","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCSFMiLCJwIjoiMTAxMjcifQ"
"BIH","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCSUgiLCJwIjoiMTAxMjcifQ"
"BLR","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCTFIiLCJwIjoiMTAxMzcifQ"
"BLZ","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCTFoiLCJwIjoiMTAxMjcifQ"
"BMU","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCTVUiLCJwIjoiMTAxMjcifQ"
"BOL","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCT0wiLCJwIjoiMTAxMjcifQ"
"BRA","59.9","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCUkEiLCJwIjoiMTAyMTIifQ"
"BRB","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCUkIiLCJwIjoiMTAxMzcifQ"
"BRN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCUk4iLCJwIjoiMTAxMjcifQ"
"BTN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCVE4iLCJwIjoiMTAxMjcifQ"
"BWA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJCV0EiLCJwIjoiMTAxMjcifQ"
"CAN","12.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDQU4iLCJwIjoiMTAxNDIifQ"
"CHE","9.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDSEUiLCJwIjoiMTAwOTcifQ"
"CHL","9990","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDSEwiLCJwIjoiMTAxOTcifQ"
"CHN","68.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDSE4iLCJwIjoiMTAxNTAifQ"
"CIV","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDSVYiLCJwIjoiMTAxMzcifQ"
"CMR","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDTVIiLCJwIjoiMTAxMzcifQ"
"COD","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDT0QiLCJwIjoiMTAxMjcifQ"
"COG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDT0ciLCJwIjoiMTAxMjcifQ"
"COL","49900.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDT0wiLCJwIjoiMTAxNDgifQ"
"CPV","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDUFYiLCJwIjoiMTAxMjcifQ"
"CRI","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDUkkiLCJwIjoiMTAxMjcifQ"
"CYM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDWU0iLCJwIjoiMTAxMjcifQ"
"CYP","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDWVAiLCJwIjoiMTAxMjcifQ"
"CZE","249.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJDWkUiLCJwIjoiMTAxMjUifQ"
"DEU","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJERVUiLCJwIjoiMTAxMjcifQ"
"DMA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJETUEiLCJwIjoiMTAxMjcifQ"
"DNK","89.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJETksiLCJwIjoiMTAwODcifQ"
"DOM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJET00iLCJwIjoiMTAxMjcifQ"
"DZA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJEWkEiLCJwIjoiMTAxMjcifQ"
"ECU","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJFQ1UiLCJwIjoiMTAxMjcifQ"
"EGY","499.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJFR1kiLCJwIjoiMTAzMDkifQ"
"ESP","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJFU1AiLCJwIjoiMTAxMjcifQ"
"EST","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJFU1QiLCJwIjoiMTAxMjcifQ"
"FIN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJGSU4iLCJwIjoiMTAxMjcifQ"
"FJI","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJGSkkiLCJwIjoiMTAxMjcifQ"
"FRA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJGUkEiLCJwIjoiMTAxMjcifQ"
"FSM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJGU00iLCJwIjoiMTAxMjcifQ"
"GAB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHQUIiLCJwIjoiMTAxMjcifQ"
"GBR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHQlIiLCJwIjoiMTAxMjcifQ"
"GEO","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHRU8iLCJwIjoiMTAxMzcifQ"
"GHA","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHSEEiLCJwIjoiMTAxMzcifQ"
"GMB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHTUIiLCJwIjoiMTAxMjcifQ"
"GNB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHTkIiLCJwIjoiMTAxMjcifQ"
"GRC","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHUkMiLCJwIjoiMTAxMjcifQ"
"GRD","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHUkQiLCJwIjoiMTAxMjcifQ"
"GTM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHVE0iLCJwIjoiMTAxMjcifQ"
"GUY","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJHVVkiLCJwIjoiMTAxMjcifQ"
"HKG","88.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJIS0ciLCJwIjoiMTAwODcifQ"
"HND","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJITkQiLCJwIjoiMTAxMjcifQ"
"HRV","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJIUlYiLCJwIjoiMTAxMjcifQ"
"HUN","4490","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJIVU4iLCJwIjoiMTAxMzcifQ"
"IDN","169000","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJRE4iLCJwIjoiMTAyMDYifQ"
"IND","999.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJTkQiLCJwIjoiMTAyMTMifQ"
"IRL","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJUkwiLCJwIjoiMTAxMjcifQ"
"IRQ","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJUlEiLCJwIjoiMTAxMjcifQ"
"ISL","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJU0wiLCJwIjoiMTAxMzcifQ"
"ISR","34.9","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJU1IiLCJwIjoiMTAxMDMifQ"
"ITA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJJVEEiLCJwIjoiMTAxMjcifQ"
"JAM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJKQU0iLCJwIjoiMTAxMjcifQ"
"JOR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJKT1IiLCJwIjoiMTAxMjcifQ"
"JPN","1500","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJKUE4iLCJwIjoiMTAxNDYifQ"
"KAZ","5990.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLQVoiLCJwIjoiMTAyNDUifQ"
"KEN","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLRU4iLCJwIjoiMTAxMzcifQ"
"KGZ","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLR1oiLCJwIjoiMTAxMjcifQ"
"KHM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLSE0iLCJwIjoiMTAxMjcifQ"
"KNA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLTkEiLCJwIjoiMTAxMjcifQ"
"KOR","17000","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLT1IiLCJwIjoiMTAxNzcifQ"
"KWT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJLV1QiLCJwIjoiMTAxMjcifQ"
"LAO","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMQU8iLCJwIjoiMTAxMjcifQ"
"LBN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMQk4iLCJwIjoiMTAxMjcifQ"
"LBR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMQlIiLCJwIjoiMTAxMjcifQ"
"LBY","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMQlkiLCJwIjoiMTAxMjcifQ"
"LCA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMQ0EiLCJwIjoiMTAxMjcifQ"
"LKA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMS0EiLCJwIjoiMTAxMjcifQ"
"LTU","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMVFUiLCJwIjoiMTAxMjcifQ"
"LUX","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMVVgiLCJwIjoiMTAxMjcifQ"
"LVA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJMVkEiLCJwIjoiMTAxMjcifQ"
"MAC","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNQUMiLCJwIjoiMTAxMjcifQ"
"MAR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNQVIiLCJwIjoiMTAxMjcifQ"
"MDA","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNREEiLCJwIjoiMTAxMzcifQ"
"MDG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNREciLCJwIjoiMTAxMjcifQ"
"MDV","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNRFYiLCJwIjoiMTAxMjcifQ"
"MEX","199.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNRVgiLCJwIjoiMTAxOTUifQ"
"MKD","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNS0QiLCJwIjoiMTAxMjcifQ"
"MLI","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNTEkiLCJwIjoiMTAxMjcifQ"
"MLT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNTFQiLCJwIjoiMTAxMjcifQ"
"MMR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNTVIiLCJwIjoiMTAxMjcifQ"
"MNE","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNTkUiLCJwIjoiMTAxMjcifQ"
"MNG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNTkciLCJwIjoiMTAxMjcifQ"
"MOZ","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNT1oiLCJwIjoiMTAxMjcifQ"
"MRT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNUlQiLCJwIjoiMTAxMjcifQ"
"MSR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNU1IiLCJwIjoiMTAxMjcifQ"
"MUS","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNVVMiLCJwIjoiMTAxMzcifQ"
"MWI","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNV0kiLCJwIjoiMTAxMjcifQ"
"MYS","49.9","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJNWVMiLCJwIjoiMTAxNzgifQ"
"NAM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOQU0iLCJwIjoiMTAxMjcifQ"
"NER","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJORVIiLCJwIjoiMTAxMjcifQ"
"NGA","14900.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOR0EiLCJwIjoiMTAyNDUifQ"
"NIC","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOSUMiLCJwIjoiMTAxMjcifQ"
"NLD","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOTEQiLCJwIjoiMTAxMjcifQ"
"NOR","129.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOT1IiLCJwIjoiMTAxMDYifQ"
"NPL","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOUEwiLCJwIjoiMTAxMzcifQ"
"NRU","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOUlUiLCJwIjoiMTAxMjcifQ"
"NZL","19.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJOWkwiLCJwIjoiMTAxNzYifQ"
"OMN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJPTU4iLCJwIjoiMTAxMjcifQ"
"PAK","2900.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQQUsiLCJwIjoiMTAyMzEifQ"
"PAN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQQU4iLCJwIjoiMTAxMjcifQ"
"PER","44.9","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQRVIiLCJwIjoiMTAxNzcifQ"
"PHL","599.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQSEwiLCJwIjoiMTAxNjkifQ"
"PLW","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQTFciLCJwIjoiMTAxMjcifQ"
"PNG","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQTkciLCJwIjoiMTAxMjcifQ"
"POL","49.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQT0wiLCJwIjoiMTAxNTMifQ"
"PRT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQUlQiLCJwIjoiMTAxMjcifQ"
"PRY","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJQUlkiLCJwIjoiMTAxMjcifQ"
"QAT","39.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJRQVQiLCJwIjoiMTAxMzQifQ"
"ROU","49.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJST1UiLCJwIjoiMTAxNTMifQ"
"RUS","899.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJSVVMiLCJwIjoiMTAyNjYifQ"
"RWA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJSV0EiLCJwIjoiMTAxMjcifQ"
"SAU","39.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTQVUiLCJwIjoiMTAxMzQifQ"
"SEN","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTRU4iLCJwIjoiMTAxMzcifQ"
"SGP","14.98","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTR1AiLCJwIjoiMTAxNjAifQ"
"SLB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTTEIiLCJwIjoiMTAxMjcifQ"
"SLE","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTTEUiLCJwIjoiMTAxMjcifQ"
"SLV","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTTFYiLCJwIjoiMTAxMjcifQ"
"SRB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTUkIiLCJwIjoiMTAxMjcifQ"
"STP","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTVFAiLCJwIjoiMTAxMjcifQ"
"SUR","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTVVIiLCJwIjoiMTAxMjcifQ"
"SVK","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTVksiLCJwIjoiMTAxMjcifQ"
"SVN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTVk4iLCJwIjoiMTAxMjcifQ"
"SWE","129.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTV0UiLCJwIjoiMTAxMDYifQ"
"SWZ","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTV1oiLCJwIjoiMTAxMjcifQ"
"SYC","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJTWUMiLCJwIjoiMTAxMjcifQ"
"TCA","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUQ0EiLCJwIjoiMTAxMjcifQ"
"TCD","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUQ0QiLCJwIjoiMTAxMjcifQ"
"THA","399.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUSEEiLCJwIjoiMTAxMTkifQ"
"TJK","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUSksiLCJwIjoiMTAxMjcifQ"
"TKM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUS00iLCJwIjoiMTAxMjcifQ"
"TON","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUT04iLCJwIjoiMTAxMjcifQ"
"TTO","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUVE8iLCJwIjoiMTAxMjcifQ"
"TUN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUVU4iLCJwIjoiMTAxMjcifQ"
"TUR","499.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUVVIiLCJwIjoiMTAzMDkifQ"
"TWN","320","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUV04iLCJwIjoiMTAwODAifQ"
"TZA","29900.0","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJUWkEiLCJwIjoiMTAxOTAifQ"
"UGA","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJVR0EiLCJwIjoiMTAxMzcifQ"
"UKR","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJVS1IiLCJwIjoiMTAxMzcifQ"
"URY","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJVUlkiLCJwIjoiMTAxMjcifQ"
"UZB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJVWkIiLCJwIjoiMTAxMjcifQ"
"VCT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJWQ1QiLCJwIjoiMTAxMjcifQ"
"VEN","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJWRU4iLCJwIjoiMTAxMjcifQ"
"VGB","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJWR0IiLCJwIjoiMTAxMjcifQ"
"VNM","299000","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJWTk0iLCJwIjoiMTAxOTEifQ"
"VUT","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJWVVQiLCJwIjoiMTAxMjcifQ"
"XKS","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJYS1MiLCJwIjoiMTAxMjcifQ"
"YEM","9.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJZRU0iLCJwIjoiMTAxMjcifQ"
"ZAF","199.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJaQUYiLCJwIjoiMTAxNTgifQ"
"ZMB","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJaTUIiLCJwIjoiMTAxMzcifQ"
"ZWE","11.99","eyJzIjoiNjc4MTExMjY1MyIsInQiOiJaV0UiLCJwIjoiMTAxMzcifQ"
